Designator,Mid X,Mid Y,Rotation,Layer
C3,74.5,-133.5,-90,bottom
C4,72,-136.5,180,bottom
C5,81,-134.725,-90,bottom
C6,198.5,-187.725,90,bottom
C7,201,-187.725,90,bottom
C8,202,-191.5,90,bottom
D3,81.75625,-107.15625,90,bottom
D4,94.45625,-116.68125,90,bottom
D5,119.85625,-116.61875,90,bottom
D6,138.90625,-116.68125,90,bottom
D7,157.95625,-116.61875,90,bottom
D8,177.00625,-116.61875,90,bottom
D9,196.05625,-116.68125,90,bottom
D10,215.10625,-116.61875,90,bottom
D11,234.15625,-116.68125,90,bottom
D12,253.20625,-116.68125,90,bottom
D13,272.25625,-116.68125,90,bottom
D14,291.30625,-116.68125,90,bottom
D15,310.35625,-116.68125,90,bottom
D16,329.40625,-116.68125,90,bottom
D17,348.45625,-116.74375,90,bottom
D18,86.51875,-135.66875,90,bottom
D19,110.33125,-135.66875,90,bottom
D20,129.38125,-135.73125,90,bottom
D21,148.43125,-135.73125,90,bottom
D22,167.48125,-135.73125,90,bottom
D23,186.53125,-135.73125,90,bottom
D24,205.58125,-135.73125,90,bottom
D25,224.63125,-135.73125,90,bottom
D26,243.68125,-135.73125,90,bottom
D27,262.73125,-135.73125,90,bottom
D28,281.78125,-135.73125,90,bottom
D29,300.83125,-135.73125,90,bottom
D30,319.88125,-135.73125,90,bottom
D31,343.69375,-135.73125,90,bottom
D32,90.5,-152.5,180,bottom
D33,115.09375,-154.78125,90,bottom
D34,134.14375,-154.78125,90,bottom
D35,153.19375,-154.78125,90,bottom
D36,172.24375,-154.78125,90,bottom
D37,191.29375,-154.78125,90,bottom
D38,210.34375,-154.78125,90,bottom
D39,229.39375,-154.78125,90,bottom
D40,248.44375,-154.78125,90,bottom
D41,267.49375,-154.78125,90,bottom
D42,286.54375,-154.78125,90,bottom
D43,305.59375,-154.78125,90,bottom
D44,336.55,-154.78125,90,bottom
D45,84.1375,-173.83125,90,bottom
D46,105.56875,-173.83125,90,bottom
D47,124.61875,-173.83125,90,bottom
D48,143.66875,-173.83125,90,bottom
D49,162.71875,-173.83125,90,bottom
D50,181.76875,-173.83125,90,bottom
D51,200.81875,-173.83125,90,bottom
D52,219.86875,-173.83125,90,bottom
D53,238.91875,-173.89375,90,bottom
D54,257.96875,-173.83125,90,bottom
D55,277.01875,-173.83125,90,bottom
D56,296.06875,-173.83125,90,bottom
D57,348.45625,-173.83125,90,bottom
D58,322.2625,-173.83125,90,bottom
D59,93.6625,-192.88125,90,bottom
D60,117.475,-192.88125,90,bottom
D61,141.2875,-192.88125,90,bottom
D62,181.76875,-192.88125,90,bottom
D63,238.91875,-192.88125,90,bottom
D64,277.01875,-192.88125,90,bottom
D65,296.06875,-192.88125,90,bottom
D66,315.11875,-192.94375,90,bottom
D67,336.55,-192.88125,90,bottom
F1,88.18,-115.09375,0,bottom
L1,84.6475,-112.5,0,bottom
Q1,77.55,-143.0625,90,bottom
R1,91.565,-110.33125,180,bottom
R2,84.6475,-110.33125,180,bottom
R3,76.75,-139.5,-90,bottom
R4,81,-137.25,-90,bottom
R5,203.5,-189.01,90,bottom
R6,78.5,-139.5,-90,bottom
R7,75,-137,-90,bottom
R8,74,-137.01,-90,bottom
R9,80,-142,90,bottom
R10,81,-142.01,-90,bottom
SW2,191,-183.5,180,bottom
SW3,191,-189.4125,180,bottom
U1,88.18,-111,0,bottom
U4,199.3625,-191.93125,180,bottom
U5,77.7875,-135.75,0,bottom
